https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BA,Volume USDT,tradecount
1744378200000,2025-04-11,BA,154.62,157.59,152.00,156.84,8810700,1381870155.73,0
1744291800000,2025-04-10,BA,154.98,157.35,149.41,155.52,10375000,1613520044.33,0
1744205400000,2025-04-09,BA,138.85,162.43,137.94,160.82,16775200,2697787786.87,0
1744119000000,2025-04-08,BA,146.85,147.77,137.40,139.39,14527900,2025043972.13,0
1744032600000,2025-04-07,BA,132.05,143.97,128.88,138.86,18825000,2614039511.49,0
1743773400000,2025-04-04,BA,143.30,146.00,132.79,136.59,22282000,3043498298.40,0
1743687000000,2025-04-03,BA,160.00,160.21,150.41,150.91,15877400,2396058492.14,0
1743600600000,2025-04-02,BA,166.40,170.38,165.55,168.56,5826600,982131681.77,0
1743514200000,2025-04-01,BA,170.00,170.98,164.22,168.17,8252800,1387873360.89,0
1743427800000,2025-03-31,BA,170.65,172.21,166.79,170.55,7477500,1275287647.82,0
1743168600000,2025-03-28,BA,177.75,178.50,172.45,173.31,8211100,1423065720.95,0
1743082200000,2025-03-27,BA,178.53,182.22,178.03,179.11,4788600,857686148.92,0
1742995800000,2025-03-26,BA,182.53,183.23,177.28,178.55,6615900,1181268965.19,0
1742909400000,2025-03-25,BA,182.16,183.85,180.36,182.59,7174400,1309973669.73,0
1742823000000,2025-03-24,BA,182.03,184.40,180.44,180.90,9986100,1806485429.05,0
1742563800000,2025-03-21,BA,172.06,183.46,170.77,178.11,26802400,4773775480.36,0
1742477400000,2025-03-20,BA,171.14,173.10,170.31,172.83,4934400,852812361.04,0
1742391000000,2025-03-19,BA,165.32,174.20,165.00,172.62,14114800,2436496707.08,0
1742304600000,2025-03-18,BA,161.44,162.23,158.79,161.57,4195200,677818494.73,0
1742218200000,2025-03-17,BA,160.50,162.77,159.62,161.85,5602700,906797029.20,0
1741959000000,2025-03-14,BA,160.92,162.32,159.20,161.81,5215100,843855318.27,0
1741872600000,2025-03-13,BA,159.22,161.74,157.25,159.32,5701600,908378953.76,0
1741786200000,2025-03-12,BA,157.00,159.54,153.61,158.80,8706900,1382655746.57,0
1741699800000,2025-03-11,BA,148.00,155.01,145.45,154.06,10030500,1545298805.51,0
1741613400000,2025-03-10,BA,150.03,150.39,146.30,148.15,10204000,1511722537.72,0
1741357800000,2025-03-07,BA,157.19,158.36,149.05,154.18,12526700,1931366514.25,0
1741271400000,2025-03-06,BA,161.42,162.69,157.94,158.43,6892600,1091994567.52,0
1741185000000,2025-03-05,BA,159.96,164.33,158.81,163.16,7355800,1200172354.94,0
1741098600000,2025-03-04,BA,167.37,168.38,156.69,158.90,15870200,2521774683.14,0
1741012200000,2025-03-03,BA,177.02,178.40,169.46,170.06,6045600,1028114721.24,0
1740753000000,2025-02-28,BA,174.36,176.30,173.48,174.63,5803300,1013430307.34,0
1740666600000,2025-02-27,BA,174.52,177.15,173.59,173.83,4695200,816166624.60,0
1740580200000,2025-02-26,BA,179.49,179.49,171.83,173.04,7111700,1230608520.25,0
1740493800000,2025-02-25,BA,180.45,181.88,176.34,178.27,5613900,1000789976.99,0
1740407400000,2025-02-24,BA,177.48,183.04,176.55,179.91,8392900,1509966669.74,0
1740148200000,2025-02-21,BA,181.28,182.20,174.71,177.15,8980300,1590860090.19,0
1740061800000,2025-02-20,BA,185.58,185.80,180.11,180.88,7863000,1422259478.39,0
1739975400000,2025-02-19,BA,185.31,187.23,181.83,186.15,7264800,1352342475.66,0
1739889000000,2025-02-18,BA,185.68,188.66,184.22,184.97,6929600,1281768120.46,0
1739543400000,2025-02-14,BA,186.75,186.82,183.58,184.42,5044700,930343564.76,0
1739457000000,2025-02-13,BA,187.00,188.24,185.09,185.44,6846300,1269577888.71,0
1739370600000,2025-02-12,BA,178.34,186.27,178.25,186.25,7686800,1431666500.00,0
1739284200000,2025-02-11,BA,179.78,182.14,177.60,180.44,4366700,787927358.66,0
1739197800000,2025-02-10,BA,183.12,183.55,179.90,180.55,3989100,720232017.17,0
1738938600000,2025-02-07,BA,185.26,186.11,180.93,181.49,5392300,978648556.62,0
1738852200000,2025-02-06,BA,182.00,185.85,182.00,184.80,6919400,1278705141.12,0
1738765800000,2025-02-05,BA,176.00,181.86,175.51,181.84,7430400,1351143908.79,0
1738679400000,2025-02-04,BA,176.90,177.45,174.25,176.23,4503600,793669408.76,0
1738593000000,2025-02-03,BA,174.11,178.20,173.13,175.87,6501700,1143453947.25,0
1738333800000,2025-01-31,BA,180.51,181.78,175.74,176.52,6104000,1077478106.08,0
1738247400000,2025-01-30,BA,174.59,179.94,173.72,179.53,6996300,1256045730.46,0
1738161000000,2025-01-29,BA,179.13,182.55,170.65,173.66,12263500,2129679454.91,0
1738074600000,2025-01-28,BA,181.31,188.48,174.02,177.78,22768900,4047855014.21,0
1737988200000,2025-01-27,BA,175.55,178.18,174.40,175.16,7148600,1252148802.18,0
1737729000000,2025-01-24,BA,176.00,180.43,174.37,176.06,9304200,1638097429.28,0
1737642600000,2025-01-23,BA,174.01,178.67,173.75,178.50,7097300,1266868050.00,0
1737556200000,2025-01-22,BA,175.29,176.23,173.88,174.80,5134400,897493135.67,0
1737469800000,2025-01-21,BA,172.38,177.09,171.93,175.56,8755300,1537080446.62,0
1737124200000,2025-01-17,BA,169.80,171.77,169.45,171.09,9557100,1635124204.00,0
1737037800000,2025-01-16,BA,166.79,170.64,166.57,168.93,5812300,981871796.43,0
1736951400000,2025-01-15,BA,169.01,169.99,165.97,166.20,6451000,1072156180.31,0
1736865000000,2025-01-14,BA,171.37,171.88,164.62,167.02,7966900,1330631672.04,0
1736778600000,2025-01-13,BA,171.18,172.50,167.91,170.57,6049600,1031880316.31,0
1736519400000,2025-01-10,BA,171.49,173.54,167.41,172.00,7556800,1299769600.00,0
1736346600000,2025-01-08,BA,171.15,173.78,169.61,171.76,5108700,877470283.94,0
