https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ORCL,Volume USDT,tradecount
1676557800000,2023-02-16,ORCL,87.46,88.27,87.01,87.72,5942500,521276107.25,0
1676471400000,2023-02-15,ORCL,88.85,89.21,88.03,88.34,4329900,382503350.14,0
1676385000000,2023-02-14,ORCL,89.00,89.41,87.71,89.09,7484800,666820804.59,0
1676298600000,2023-02-13,ORCL,87.28,89.45,87.20,89.42,5560900,497255667.82,0
1676039400000,2023-02-10,ORCL,86.53,87.38,86.34,87.14,5318400,463445372.75,0
1675953000000,2023-02-09,ORCL,87.14,87.90,86.33,86.65,4960300,429810002.57,0
1675866600000,2023-02-08,ORCL,86.93,87.92,86.51,86.69,7624400,660959254.61,0
1675780200000,2023-02-07,ORCL,87.87,88.02,86.30,87.74,9226000,809489220.29,0
1675693800000,2023-02-06,ORCL,89.51,89.61,88.40,88.53,4097200,362725111.00,0
1675434600000,2023-02-03,ORCL,88.47,90.26,88.27,89.62,5671800,508306731.58,0
1675348200000,2023-02-02,ORCL,90.66,91.22,88.95,89.38,8269200,739101073.29,0
1675261800000,2023-02-01,ORCL,88.37,90.65,88.21,90.05,6141300,553024083.74,0
1675175400000,2023-01-31,ORCL,87.69,88.48,87.35,88.46,6200400,548487378.32,0
1675089000000,2023-01-30,ORCL,88.47,88.62,86.99,87.35,6255300,546400445.46,0
1674829800000,2023-01-27,ORCL,89.50,89.72,88.96,88.99,5676800,505178419.87,0
1674743400000,2023-01-26,ORCL,89.89,90.49,89.09,89.83,7302800,656010537.37,0
1674657000000,2023-01-25,ORCL,88.70,89.86,87.74,89.64,5896800,528589148.40,0
1674570600000,2023-01-24,ORCL,89.05,90.10,88.00,89.70,7004600,628312598.62,0
1674484200000,2023-01-23,ORCL,87.19,89.13,86.97,88.97,7390200,657506103.02,0
1674225000000,2023-01-20,ORCL,86.03,87.38,85.50,87.25,5567300,485746925.00,0
1674138600000,2023-01-19,ORCL,86.40,86.99,85.26,85.94,5597000,481006193.66,0
1674052200000,2023-01-18,ORCL,88.60,88.63,86.60,86.71,6397700,554744561.14,0
1673965800000,2023-01-17,ORCL,89.19,89.44,88.43,88.60,6550400,580365430.00,0
1673620200000,2023-01-13,ORCL,87.95,89.47,87.66,89.20,5090800,454099344.46,0
1673533800000,2023-01-12,ORCL,88.70,89.20,88.17,88.78,6071100,538992250.59,0
1673447400000,2023-01-11,ORCL,87.37,88.66,87.09,88.60,8359700,740669407.24,0
1673361000000,2023-01-10,ORCL,85.64,86.61,85.57,86.50,5703300,493335450.00,0
1673274600000,2023-01-09,ORCL,86.84,87.59,86.16,86.42,7519700,649852460.23,0
1673015400000,2023-01-06,ORCL,84.74,86.34,83.82,85.66,8641600,740239487.65,0
1672929000000,2023-01-05,ORCL,85.00,85.40,83.22,84.31,7643800,644448759.34,0
1672842600000,2023-01-04,ORCL,84.20,85.17,83.64,84.48,7836200,662002202.31,0
1672756200000,2023-01-03,ORCL,82.47,83.84,82.26,83.72,8997500,753270710.98,0
1672410600000,2022-12-30,ORCL,81.13,81.93,80.76,81.74,5375700,439409706.52,0
1672324200000,2022-12-29,ORCL,80.97,81.80,80.70,81.40,3867800,314838925.90,0
1672237800000,2022-12-28,ORCL,81.09,81.64,80.19,80.33,3794000,304772026.95,0
1672151400000,2022-12-27,ORCL,80.88,81.47,80.61,80.98,4290700,347460900.40,0
1671805800000,2022-12-23,ORCL,80.51,80.90,79.99,80.85,4129100,333837728.70,0
1671719400000,2022-12-22,ORCL,80.94,81.17,79.43,80.49,8181400,658520868.52,0
1671633000000,2022-12-21,ORCL,81.35,82.14,80.94,81.50,5932400,483490600.00,0
1671546600000,2022-12-20,ORCL,80.50,81.49,80.35,80.94,6390200,517222803.60,0
1671460200000,2022-12-19,ORCL,79.92,81.10,79.68,80.50,7738800,622973400.00,0
1671201000000,2022-12-16,ORCL,79.96,80.46,79.48,79.58,19200700,1527991741.16,0
1671114600000,2022-12-15,ORCL,80.79,81.03,79.46,80.07,8196800,656317773.50,0
1671028200000,2022-12-14,ORCL,80.81,82.89,80.57,81.82,11183100,915001238.59,0
1670941800000,2022-12-13,ORCL,84.94,85.58,79.70,80.56,22812200,1837750776.31,0
1670855400000,2022-12-12,ORCL,80.31,81.41,79.94,81.28,15807600,1284841708.70,0
1670596200000,2022-12-09,ORCL,79.65,80.36,79.54,79.86,6850800,547104892.18,0
1670509800000,2022-12-08,ORCL,79.13,80.21,78.53,80.07,5918700,473910307.19,0
1670423400000,2022-12-07,ORCL,78.67,79.44,78.58,78.78,5105500,402211283.77,0
1670337000000,2022-12-06,ORCL,79.35,79.82,78.06,78.91,7656100,604142879.04,0
1670250600000,2022-12-05,ORCL,82.41,82.42,79.41,79.43,9102900,723043349.78,0
1669991400000,2022-12-02,ORCL,83.20,83.62,82.58,83.35,4798900,399988307.68,0
1669905000000,2022-12-01,ORCL,83.05,84.53,82.35,84.11,6127200,515358795.74,0
1669818600000,2022-11-30,ORCL,80.47,83.18,80.00,83.03,9610300,797943197.27,0
1669732200000,2022-11-29,ORCL,81.33,81.50,80.52,80.85,4928200,398444962.48,0
1669645800000,2022-11-28,ORCL,82.11,82.14,81.07,81.39,5112200,416081954.88,0
1669386600000,2022-11-25,ORCL,82.85,83.49,82.54,82.72,2754900,227885331.36,0
1669213800000,2022-11-23,ORCL,82.12,82.92,81.78,82.56,6347900,524082608.50,0
