https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume GOOGL,Volume USDT,tradecount
1696944600000,2023-10-10,GOOGL,138.50,139.72,137.33,138.06,27786600,3836217928.16,0
1696858200000,2023-10-09,GOOGL,136.94,138.94,135.61,138.42,19278100,2668474566.70,0
1696599000000,2023-10-06,GOOGL,134.01,138.16,134.01,137.58,27597600,3796877858.53,0
1696512600000,2023-10-05,GOOGL,135.07,135.49,133.45,135.07,19832600,2678789427.26,0
1696426200000,2023-10-04,GOOGL,132.79,135.57,132.53,135.24,26752300,3617981198.95,0
1696339800000,2023-10-03,GOOGL,133.94,134.26,131.84,132.43,22989400,3044486073.62,0
1696253400000,2023-10-02,GOOGL,131.21,134.42,131.17,134.17,22288000,2990380919.19,0
1695994200000,2023-09-29,GOOGL,133.28,134.05,130.36,130.86,30859800,4038313446.84,0
1695907800000,2023-09-28,GOOGL,129.84,133.30,129.79,132.31,22513100,2978708206.04,0
1695821400000,2023-09-27,GOOGL,128.57,130.90,128.57,130.54,22746500,2969327957.28,0
1695735000000,2023-09-26,GOOGL,129.77,130.36,127.22,128.57,25718700,3306653447.37,0
1695648600000,2023-09-25,GOOGL,129.83,131.17,128.96,131.11,20094600,2634603018.26,0
1695389400000,2023-09-22,GOOGL,130.76,132.03,129.60,130.25,26397300,3438248325.00,0
1695303000000,2023-09-21,GOOGL,131.44,132.23,130.07,130.44,31503900,4109368792.91,0
1695216600000,2023-09-20,GOOGL,138.08,138.08,133.62,133.74,29927500,4002504014.40,0
1695130200000,2023-09-19,GOOGL,137.42,138.41,136.62,138.04,20353700,2809624611.35,0
1695043800000,2023-09-18,GOOGL,136.61,139.16,136.61,138.21,21861300,3021450419.77,0
1694784600000,2023-09-15,GOOGL,137.98,138.52,136.48,137.40,38919600,5347552802.45,0
1694698200000,2023-09-14,GOOGL,137.60,138.70,136.24,138.10,24751000,3418113251.07,0
1694611800000,2023-09-13,GOOGL,135.09,136.90,134.15,136.71,20749500,2836664284.31,0
1694525400000,2023-09-12,GOOGL,136.26,136.87,135.19,135.34,18405500,2491000302.60,0
1694439000000,2023-09-11,GOOGL,136.54,137.48,135.79,136.92,20763400,2842924689.98,0
1694179800000,2023-09-08,GOOGL,134.91,136.66,134.85,136.38,23558300,3212881069.03,0
1694093400000,2023-09-07,GOOGL,133.59,135.58,132.95,135.26,18844300,2548879914.49,0
1694007000000,2023-09-06,GOOGL,136.02,136.53,133.67,134.46,18684500,2512317995.45,0
1693920600000,2023-09-05,GOOGL,135.44,136.42,134.58,135.77,19403100,2634358969.90,0
1693575000000,2023-09-01,GOOGL,137.46,137.46,134.85,135.66,21543700,2922618420.90,0
1693488600000,2023-08-31,GOOGL,136.01,138.00,135.79,136.17,30053800,4092425890.97,0
1693402200000,2023-08-30,GOOGL,134.78,136.28,134.07,135.88,28315800,3847551042.26,0
1693315800000,2023-08-29,GOOGL,132.24,136.57,132.24,134.57,43075600,5796683807.50,0
1693229400000,2023-08-28,GOOGL,131.31,132.54,130.14,131.01,20543300,2691377620.15,0
1692970200000,2023-08-25,GOOGL,129.54,130.76,127.25,129.88,26762900,3475965582.68,0
1692883800000,2023-08-24,GOOGL,133.95,134.25,129.57,129.78,28500700,3698820811.21,0
1692797400000,2023-08-23,GOOGL,130.18,133.41,129.87,132.37,27819700,3682493553.16,0
1692711000000,2023-08-22,GOOGL,128.51,130.28,128.32,129.08,22054900,2846846532.38,0
1692624600000,2023-08-21,GOOGL,127.18,128.73,126.56,128.37,25248700,3241175495.72,0
1692365400000,2023-08-18,GOOGL,128.51,129.25,126.38,127.46,30504800,3888141780.07,0
