https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume CRM,Volume USDT,tradecount
1662125400000,2022-09-02,CRM,156.46,158.67,152.96,153.69,7315700,1124349950.86,0
1662039000000,2022-09-01,CRM,154.87,155.33,150.87,153.53,9924000,1523631707.89,0
1661952600000,2022-08-31,CRM,159.79,161.21,155.97,156.12,9166100,1431011487.24,0
1661866200000,2022-08-30,CRM,162.14,163.85,158.38,159.67,8079400,1290037783.21,0
1661779800000,2022-08-29,CRM,164.28,165.82,160.05,160.21,9329900,1494743341.64,0
1661520600000,2022-08-26,CRM,173.96,176.30,164.63,165.23,11074700,1829872633.68,0
1661434200000,2022-08-25,CRM,168.58,174.14,165.56,173.91,24025600,4178292183.98,0
1661347800000,2022-08-24,CRM,176.67,181.23,176.06,180.01,11438800,2059098325.16,0
1661261400000,2022-08-23,CRM,175.88,178.11,174.91,176.00,5076800,893516800.00,0
1661175000000,2022-08-22,CRM,180.00,180.59,176.06,176.98,5182900,917269619.86,0
1660915800000,2022-08-19,CRM,185.22,185.44,181.58,183.77,4346100,798682815.57,0
1660829400000,2022-08-18,CRM,188.42,188.57,186.61,187.93,2791600,524625367.55,0
1660743000000,2022-08-17,CRM,187.72,189.43,186.47,187.96,3181300,597957169.36,0
1660656600000,2022-08-16,CRM,189.55,190.85,186.36,189.59,3835900,727248266.95,0
1660570200000,2022-08-15,CRM,189.05,192.11,188.90,191.06,2768500,528949603.24,0
1660311000000,2022-08-12,CRM,186.63,190.02,185.51,189.89,3846200,730354915.65,0
1660224600000,2022-08-11,CRM,192.13,192.50,186.32,186.73,4175100,779616405.16,0
1660138200000,2022-08-10,CRM,188.16,189.57,186.21,188.61,4179200,788238914.55,0
1660051800000,2022-08-09,CRM,186.30,187.13,179.82,182.24,5851700,1066413840.14,0
1659965400000,2022-08-08,CRM,191.09,194.37,189.08,189.75,3396800,644542800.00,0
1659706200000,2022-08-05,CRM,187.00,191.80,186.28,190.17,4090300,777852343.51,0
1659619800000,2022-08-04,CRM,188.56,191.58,187.25,191.27,3759700,719117835.06,0
1659533400000,2022-08-03,CRM,185.53,190.68,185.37,189.65,5786300,1097371759.68,0
1659447000000,2022-08-02,CRM,180.81,185.14,179.43,183.79,4317900,793586812.01,0
1659360600000,2022-08-01,CRM,181.30,185.18,179.76,182.98,3997100,731389340.92,0
1659101400000,2022-07-29,CRM,181.82,184.42,180.22,184.02,4751400,874352648.30,0
1659015000000,2022-07-28,CRM,178.41,181.88,175.93,181.29,4562100,827063078.37,0
1658928600000,2022-07-27,CRM,174.86,182.23,174.35,180.30,4960900,894450285.14,0
1658842200000,2022-07-26,CRM,177.11,177.13,169.76,170.46,3886500,662492816.09,0
1658755800000,2022-07-25,CRM,181.83,181.99,175.08,177.29,4407900,781476561.41,0
1658496600000,2022-07-22,CRM,185.07,187.56,180.93,182.47,3804700,694243613.64,0
1658410200000,2022-07-21,CRM,180.66,185.53,179.91,185.35,3886000,720270123.72,0
1658323800000,2022-07-20,CRM,176.10,183.50,175.61,182.45,5654000,1031572282.75,0
1658237400000,2022-07-19,CRM,170.92,174.10,167.81,173.81,4373400,760140643.32,0
1658151000000,2022-07-18,CRM,168.95,172.64,167.11,167.89,3818200,641037595.67,0
1657891800000,2022-07-15,CRM,163.71,167.61,162.22,167.38,6037700,1010590255.48,0
1657805400000,2022-07-14,CRM,161.03,161.71,157.65,161.04,6096100,981715903.07,0
1657719000000,2022-07-13,CRM,162.41,165.84,161.17,163.49,6225900,1017872425.20,0
1657632600000,2022-07-12,CRM,172.21,173.38,164.35,166.33,7073000,1176452102.95,0
1657546200000,2022-07-11,CRM,174.00,176.32,171.26,174.36,3689300,643266350.25,0
