https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume V,Volume USDT,tradecount
1637332200000,2021-11-19,V,202.04,203.50,199.85,200.86,18032600,3622028047.01,0
1637245800000,2021-11-18,V,206.50,207.87,201.27,203.33,18292200,3719353059.49,0
1637159400000,2021-11-17,V,205.95,207.31,199.46,205.06,38379600,7870120682.30,0
1637073000000,2021-11-16,V,212.16,215.65,211.66,215.18,8719600,1876283464.14,0
1636986600000,2021-11-15,V,213.62,216.40,211.81,212.30,9596900,2037421899.29,0
1636727400000,2021-11-12,V,211.50,213.58,211.43,212.09,7660500,1624715416.95,0
1636641000000,2021-11-11,V,216.47,216.78,210.16,210.42,13546900,2850538673.19,0
1636554600000,2021-11-10,V,213.55,216.95,213.33,215.56,10063600,2169309591.43,0
1636468200000,2021-11-09,V,219.69,220.41,212.92,213.39,11535000,2461453642.96,0
1636381800000,2021-11-08,V,218.37,221.61,218.15,220.49,13500100,2976637123.16,0
1636119000000,2021-11-05,V,211.95,217.63,211.36,216.67,14273600,3092660885.86,0
1636032600000,2021-11-04,V,209.16,212.36,207.87,208.78,11368200,2373452782.12,0
1635946200000,2021-11-03,V,209.69,210.15,206.73,208.10,11486700,2390382340.11,0
1635859800000,2021-11-02,V,213.16,213.35,207.82,209.14,14688700,3071994709.03,0
1635773400000,2021-11-01,V,213.49,215.25,211.45,212.46,13210300,2806660426.69,0
1635514200000,2021-10-29,V,209.21,213.67,208.54,211.77,14329800,3034621807.22,0
1635427800000,2021-10-28,V,219.25,219.99,209.01,209.84,23199400,4868162011.04,0
1635341400000,2021-10-27,V,224.75,224.75,215.66,215.78,22958100,4953898789.97,0
1635255000000,2021-10-26,V,235.53,236.96,231.33,231.82,7814500,1811557447.24,0
1635168600000,2021-10-25,V,233.45,234.86,232.29,233.88,4938700,1155063180.11,0
1634909400000,2021-10-22,V,230.29,232.82,228.71,231.23,3788000,875899223.82,0
1634823000000,2021-10-21,V,230.70,230.83,226.30,230.24,5982200,1377341760.86,0
1634736600000,2021-10-20,V,233.46,233.80,231.31,231.42,5401800,1250084546.11,0
1634650200000,2021-10-19,V,231.95,233.64,230.68,233.52,4409700,1029753162.84,0
1634563800000,2021-10-18,V,230.18,232.76,228.14,230.65,5580200,1287073095.94,0
1634304600000,2021-10-15,V,227.22,231.09,226.73,230.99,6355100,1467964583.91,0
1634218200000,2021-10-14,V,224.12,225.65,223.06,225.18,5590500,1258868749.05,0
1634131800000,2021-10-13,V,223.13,225.86,218.63,222.46,9076000,2019047020.94,0
1634045400000,2021-10-12,V,225.56,226.22,222.92,224.05,5448200,1220669226.63,0
1633959000000,2021-10-11,V,230.01,230.32,224.87,225.11,5620200,1265163225.43,0
1633699800000,2021-10-08,V,231.00,232.73,230.18,230.27,3735200,860104519.96,0
1633613400000,2021-10-07,V,228.91,231.16,228.49,230.55,6561900,1512846065.03,0
1633527000000,2021-10-06,V,222.04,226.62,221.25,226.51,5420900,1227888029.22,0
1633440600000,2021-10-05,V,225.48,227.38,223.92,224.28,5814000,1303963912.90,0
1633354200000,2021-10-04,V,230.00,230.33,220.81,224.73,10283400,2310988438.06,0
1633095000000,2021-10-01,V,224.17,231.56,223.47,230.46,7925400,1826487737.21,0
1633008600000,2021-09-30,V,227.58,228.79,222.63,222.75,7128500,1587873375.00,0
1632922200000,2021-09-29,V,226.80,229.02,226.09,226.68,6432700,1458164388.89,0
1632835800000,2021-09-28,V,228.87,228.87,224.00,225.56,6951400,1567957767.03,0
1632749400000,2021-09-27,V,231.72,233.33,228.77,229.60,6881100,1579900602.00,0
1632490200000,2021-09-24,V,228.93,231.95,228.62,231.59,6461200,1496349284.34,0
1632403800000,2021-09-23,V,225.00,228.70,224.36,228.31,7952700,1815680917.58,0
1632317400000,2021-09-22,V,221.40,224.10,221.10,222.75,6005900,1337814225.00,0
1632231000000,2021-09-21,V,220.75,222.17,218.98,220.17,7033600,1548587699.12,0
1632144600000,2021-09-20,V,216.96,220.50,216.31,220.05,8822600,1941413156.92,0
1631885400000,2021-09-17,V,222.45,223.70,219.30,221.75,13787400,3057355950.00,0
1631799000000,2021-09-16,V,223.86,225.20,222.75,224.33,5928500,1329940415.86,0
1631712600000,2021-09-15,V,222.52,224.84,221.36,223.81,6535800,1462777382.04,0
1631626200000,2021-09-14,V,225.00,225.81,222.28,223.03,6575700,1466578362.97,0
1631539800000,2021-09-13,V,225.53,227.20,223.41,224.63,6808100,1529303536.24,0
1631280600000,2021-09-10,V,229.85,230.04,224.82,224.91,6715400,1510360638.59,0
1631194200000,2021-09-09,V,229.31,230.00,227.10,227.49,5853000,1331499002.15,0
1631107800000,2021-09-08,V,227.38,230.22,227.04,229.09,10652600,2440404094.99,0
1631021400000,2021-09-07,V,226.74,228.00,225.86,226.27,9662600,2186356543.28,0
1630675800000,2021-09-03,V,224.00,227.30,223.35,225.11,11532000,2595968527.04,0
1630589400000,2021-09-02,V,230.43,230.55,221.96,224.18,19708800,4418318639.65,0
1630503000000,2021-09-01,V,229.10,230.78,228.77,230.12,8177600,1881829272.07,0
1630416600000,2021-08-31,V,230.91,231.84,228.66,229.10,9405100,2154708467.40,0
1630330200000,2021-08-30,V,232.69,233.67,229.92,231.23,6448000,1490971012.45,0
1630071000000,2021-08-27,V,231.02,233.05,230.23,232.69,6369000,1482002625.55,0
1629984600000,2021-08-26,V,232.13,232.63,230.15,230.52,5889100,1357555357.16,0
1629898200000,2021-08-25,V,235.00,235.00,232.08,232.59,5277100,1227400669.67,0
1629811800000,2021-08-24,V,235.04,236.19,233.95,234.24,5081800,1190360859.92,0
1629725400000,2021-08-23,V,232.70,234.65,232.00,234.14,6342000,1484915876.13,0
1629466200000,2021-08-20,V,231.87,232.16,230.30,231.36,5522200,1277616195.37,0
1629379800000,2021-08-19,V,229.04,232.43,228.90,231.57,5761300,1334144283.20,0
1629293400000,2021-08-18,V,233.92,234.35,231.47,231.63,4996500,1157339319.40,0
1629207000000,2021-08-17,V,235.00,235.67,233.22,234.53,6850500,1606647756.64,0
1629120600000,2021-08-16,V,232.21,235.48,230.20,235.36,7575900,1783063828.62,0
1628861400000,2021-08-13,V,232.00,233.27,231.40,232.65,5445400,1266872276.76,0
1628775000000,2021-08-12,V,233.89,234.11,231.02,231.79,9867000,2287071863.75,0
1628688600000,2021-08-11,V,238.08,238.36,234.58,235.06,7375700,1733732023.99,0
1628602200000,2021-08-10,V,240.51,241.34,235.56,238.07,7185700,1710699651.63,0
1628515800000,2021-08-09,V,241.75,242.18,238.05,240.00,5226900,1254456000.00,0
1628256600000,2021-08-06,V,240.00,242.60,239.86,241.40,4509700,1088641552.47,0
1628170200000,2021-08-05,V,236.61,240.25,236.43,240.21,5337500,1282120910.84,0
1628083800000,2021-08-04,V,237.00,237.55,235.05,236.67,8171800,1934019891.04,0
1627997400000,2021-08-03,V,240.63,241.39,234.03,237.09,9839000,2332728473.97,0
1627911000000,2021-08-02,V,246.24,247.83,238.37,239.78,9989500,2395282297.81,0
1627651800000,2021-07-30,V,247.21,248.46,246.00,246.39,5804700,1430220029.46,0
1627565400000,2021-07-29,V,248.11,250.38,247.10,247.92,7495300,1858234762.28,0
1627479000000,2021-07-28,V,250.05,251.50,245.91,246.94,9036500,2231473332.06,0
1627392600000,2021-07-27,V,249.19,252.67,248.22,250.93,7038300,1766120567.45,0
1627306200000,2021-07-26,V,249.21,250.36,247.70,250.25,4879000,1220969750.00,0
